"A01","ADT/ACK - Admit/visit notification"
"A02","ADT/ACK - Transfer a patient"
"A03","ADT/ACK -  Discharge/end visit"
"A04","ADT/ACK -  Register a patient"
"A05","ADT/ACK -  Pre-admit a patient"
"A06","ADT/ACK -  Change an outpatient to an inpatient"
"A07","ADT/ACK -  Change an inpatient to an outpatient"
"A08","ADT/ACK -  Update patient information"
"A09","ADT/ACK -  Patient departing - tracking"
"A10","ADT/ACK -  Patient arriving - tracking"
"A11","ADT/ACK -  Cancel admit/visit notification"
"A12","ADT/ACK -  Cancel transfer"
"A13","ADT/ACK -  Cancel discharge/end visit"
"A14","ADT/ACK -  Pending admit"
"A15","ADT/ACK -  Pending transfer"
"A16","ADT/ACK -  Pending discharge"
"A17","ADT/ACK -  Swap patients"
"A18","ADT/ACK -  Merge patient information (for backward compatibility only)"
"A19","QRY/ADR -  Patient query"
"A20","ADT/ACK -  Bed status update"
"A21","ADT/ACK -  Patient goes on a âleave of absenceâ"
"A22","ADT/ACK -  Patient returns from a âleave of absenceâ"
"A23","ADT/ACK -  Delete a patient record"
"A24","ADT/ACK -  Link patient information"
"A25","ADT/ACK -  Cancel pending discharge"
"A26","ADT/ACK -  Cancel pending transfer"
"A27","ADT/ACK -  Cancel pending admit"
"A28","ADT/ACK -  Add person information"
"A29","ADT/ACK -  Delete person information"
"A30","ADT/ACK -  Merge person information (for backward compatibility only)"
"A31","ADT/ACK -  Update person information"
"A32","ADT/ACK -  Cancel patient arriving - tracking"
"A33","ADT/ACK -  Cancel patient departing - tracking"
"A34","ADT/ACK -  Merge patient information - patient ID only (for backward compatibili"
"A35","ADT/ACK -  Merge patient information - account number only (for backward compati"
"A36","ADT/ACK -  Merge patient information - patient ID and account number (for backwa"
"A37","ADT/ACK -  Unlink patient information"
"A38","ADT/ACK - Cancel pre-admit"
"A39","ADT/ACK - Merge person - patient ID (for backward compatibility only)"
"A40","ADT/ACK - Merge patient - patient identifier list"
"A41","ADT/ACK - Merge account - patient account number"
"A42","ADT/ACK - Merge visit - visit number"
"A43","ADT/ACK - Move patient information - patient identifier list"
"A44","ADT/ACK - Move account information - patient account number"
"A45","ADT/ACK - Move visit information - visit number"
"A46","ADT/ACK - Change patient ID (for backward compatibility only)"
"A47","ADT/ACK - Change patient identifier list"
"A48","ADT/ACK - Change alternate patient ID (for backward compatibility only)"
"A49","ADT/ACK - Change patient account number"
"A50","ADT/ACK - Change visit number"
"A51","ADT/ACK - Change alternate visit ID"
"A52","ADT/ACK - Cancel leave of absence for a patient"
"A53","ADT/ACK - Cancel patient returns from a leave of absence"
"A54","ADT/ACK - Change attending doctor"
"A55","ADT/ACK - Cancel change attending doctor"
"A60","ADT/ACK - Update allergy information"
"A61","ADT/ACK - Change consulting doctor"
"A62","ADT/ACK - Cancel change consulting doctor"
"B01","PMU/ACK - Add personnel record"
"B02","PMU/ACK - Update personnel record"
"B03","PMU/ACK - Delete personnel re cord"
"B04","PMU/ACK - Active practicing person"
"B05","PMU/ACK - Deactivate practicing person"
"B06","PMU/ACK - Terminate practicing person"
"B07","PMU/ACK - Grant Certificate/Permission"
"B08","PMU/ACK - Revoke Certificate/Permission"
"C01","CRM - Register a patient on a clinical trial"
"C02","CRM - Cancel a patient registration on clinical trial (for clerical mistakes onl"
"C03","CRM - Correct/update registration information"
"C04","CRM - Patient has gone off a clinical trial"
"C05","CRM - Patient enters phase of clinical trial"
"C06","CRM - Cancel patient entering a phase (clerical mistake)"
"C07","CRM - Correct/update phase information"
"C08","CRM - Patient has gone off phase of clinical trial"
"C09","CSU - Automated time intervals for reporting, like monthly"
"C10","CSU - Patient completes the clinical trial"
"C11","CSU - Patient completes a phase of the clinical trial"
"C12","CSU - Update/correction of patient order/result information"
"I01","RQI/RPI - Request for insurance information"
"I02","RQI/RPL - Request/receipt of patient selection display list"
"I03","RQI/RPR - Request/receipt of patient selection list"
"I04","RQD/RPI - Request for patient demographic data"
"I05","RQC/RCI - Request for patient clinical information"
"I06","RQC/RCL - Request/receipt of clinical data listing"
"I07","PIN/ACK - Unsolicited insurance information"
"I08","RQA/RPA - Request for treatment authorization information"
"I09","RQA/RPA - Request for modification to an authorization"
"I10","RQA/RPA - Request for resubmission of an authorization"
"I11","RQA/RPA - Request for cancellation of an authorization"
"I12","REF/RRI - Patient referral"
"I13","REF/RRI - Modify patient referral"
"I14","REF/RRI - Cancel patient referral"
"I15","REF/RRI - Request patient referral status"
"J01","QCN/ACK - Cancel query/acknowledge message"
"J02","QSX/ACK - Cancel subscription/acknowledge message"
"K11","RSP - Segment pattern response in response to QBP^Q11"
"K13","RTB - Tabular response in response to QBP^Q13"
"K15","RDY - Display response in response to QBP^Q15"
"K21","RSP - Get person demographics response"
"K22","RSP - Find candidates response"
"K23","RSP - Get corresponding identifiers response"
"K24","RSP - Allocate identifiers response"
"K25","RSP - Personnel Information by Segment Response"
"K31","RSP - Dispense History"
"M01","MFN/MFK - Master file not otherwise specified (for backward compatibility only)"
"M02","MFN/MFK - Master file - staff practitioner"
"M03","MFN/MFK - Master file - test/observation (for backward compatibility only)"
"M04","MFN/MFK - Master files charge description"
"M05","MFN/MFK - Patient location master file"
"M06","MFN/MFK - Clinical study with phases and schedules master file"
"M07","MFN/MFK - Clinical study without phases but with schedules master file"
"M08","MFN/MFK - Test/observation (numeric) master file"
"M09","MFN/MFK - Test/observation (categorical) master file"
"M10","MFN/MFK - Test /observation batteries master file"
"M11","MFN/MFK - Test/calculated observations master file"
"M12","MFN/MFK - Master file notification message"
"M13","MFN/MFK - Master file notification - general"
"M14","MFN/MFK - Master file notification - site defined"
"M15","MFN/MFK - Inventory item master file notification"
"N01","NMQ/NMR - Application management query message"
"N02","NMD/ACK - Application management data message (unsolicited)"
"O01","ORM - Order message (also RDE, RDS, RGV, RAS)"
"O02","ORR - Order response (also RRE, RRD, RRG, RRA)"
"O03","OMD - Diet order"
"O04","ORD - Diet order acknowledgment"
"O05","OMS - Stock requisition order"
"O06","ORS - Stock requisition acknowledgment"
"O07","OMN - Non-stock requisition order"
"O08","ORN - Non-stock requisition acknowledgment"
"O09","OMP - Pharmacy/treatment order"
"O10","ORP - Pharmacy/treatment order acknowledgment"
"O11","RDE - Pharmacy/treatment encoded order"
"O12","RRE - Pharmacy/treatment encoded order acknowledgment"
"O13","RDS - Pharmacy/treatment dispense"
"O14","RRD - Pharmacy/treatment dispense acknowledgment"
"O15","RGV - Pharmacy/treatment give"
"O16","RRG - Pharmacy/treatment give acknowledgment"
"O17","RAS - Pharmacy/treatment administration"
"O18","RRA - Pharmacy/treatment administration acknowledgment"
"O19","OMG - General clinical order"
"O20","ORG/ORL - General clinical order response"
"O21","OML - Laboratory order"
"O22","ORL - General laboratory order response message to any OML"
"O23","OMI - Imaging order"
"O24","ORI - Imaging order response message to any OMI"
"O25","RDE - Pharmacy/treatment refill authorization request"
"O26","RRE - Pharmacy/Treatment Refill Authorization Acknowledgement"
"O27","OMB - Blood product order"
"O28","ORB - Blood product order acknowledgment"
"O29","BPS - Blood product dispense status"
"O30","BRP - Blood product dispense status acknowledgment"
"O31","BTS - Blood product transfusion/disposition"
"O32","BRT - Blood product transfusion/disposition acknowledgment"
"O33","OML - Laboratory order for multiple orders related to a single specimen"
"O34","ORL - Laboratory order response message to a multiple order related to single sp"
"O35","OML - Laboratory order for multiple orders related to a single container of a sp"
"O36","ORL - Laboratory order response message to a single container of a specimen OML"
"P01","BAR/ACK - Add patient accounts"
"P02","BAR/ACK - Purge patient accounts"
"P03","DFT/ACK - Post detail financial transaction"
"P05","BAR/ACK - Update account"
"P06","BAR/ACK - End account"
"P07","PEX - Unsolicited initial individual product experience report"
"P08","PEX - Unsolicited update individual product experience report"
"P09","SUR - Summary product experience report"
"P10","BAR/ACK -Transmit Ambulatory Payment  Classification(APC)"
"P11","DFT/ACK - Post Detail Financial Transactions - New"
"P12","BAR/ACK - Update Diagnosis/Procedure"
"PC1","PPR - PC/ problem add"
"PC2","PPR - PC/ problem update"
"PC3","PPR - PC/ problem delete"
"PC4","QRY - PC/ problem query"
"PC5","PRR - PC/ problem response"
"PC6","PGL - PC/ goal add"
"PC7","PGL - PC/ goal update"
"PC8","PGL - PC/ goal delete"
"PC9","QRY - PC/ goal query"
"PCA","PPV - PC/ goal response"
"PCB","PPP - PC/ pathway (problem-oriented) add"
"PCC","PPP - PC/ pathway (problem-oriented) update"
"PCD","PPP - PC/ pathway (problem-oriented) delete"
"PCE","QRY - PC/ pathway (problem-oriented) query"
"PCF","PTR - PC/ pathway (problem-oriented) query response"
"PCG","PPG - PC/ pathway (goal-oriented) add"
"PCH","PPG - PC/ pathway (goal-oriented) update"
"PCJ","PPG - PC/ pathway (goal-oriented) delete"
"PCK","QRY - PC/ pathway (goal-oriented) query"
"PCL","PPT - PC/ pathway (goal-oriented) query response"
"Q01","QRY/DSR - Query sent for immediate response"
"Q02","QRY/QCK - Query sent for deferred response"
"Q03","DSR/ACK - Deferred response to a query"
"Q04","EQQ - Embedded query language query"
