"AAA","Request Validation"
"ACD","Account Description"
"ACK","Line Item Acknowledgment"
"ACS","Ancillary Charges"
"ACT","Account Identification"
"AD1","Adjustment Amount"
"ADI","Animal Disposition"
"ADJ","Adjustments to Balances or Services"
"ADT","Animal Parturition Status"
"ADV","Advertising Demographic Information"
"ADX","Adjustment"
"AEI","Equipment Information Summary"
"AES","Automatic Equipment Identification Site Information"
"AIN","Income"
"AK1","Functional Group Response Header"
"AK2","Transaction Set Response Header"
"AK3","Data Segment Note"
"AK4","Data Element Note"
"AK5","Transaction Set Response Trailer"
"AK9","Functional Group Response Trailer"
"AM1","Informational Values"
"AMT","Monetary Amount"
"ANI","Animal Identification"
"AOC","Animal Offspring Counts"
"AOI","Animal Offspring/Fetus Identification"
"AOL","Animal Observation Location"
"AOR","Animal Observation Result"
"AP1","Alternate Parts"
"API","Activity or Process Information"
"APR","Association of American Railroads Pool Code Restrictions"
"ARC","Animal Results Counts"
"ARS","Applicant Residence Specifics"
"ASI","Action or Status Indicator"
"ASL","Asset Liability"
"ASM","Amount and Settlement Method"
"ASO","Asset Ownership"
"AST","Animal Reproductive Status"
"AT1","Bill of Lading Line Item Number"
"AT2","Bill of Lading Line Item Detail"
"AT3","Bill of Lading Rates and Charges"
"AT4","Bill of Lading Description"
"AT5","Bill of Lading Handling Requirements"
"AT6","International Manifest Information"
"AT7","Shipment Status Details"
"AT8","Shipment Weight, Packaging and Quantity Data"
"AT9","Trailer or Container Dimension and Weight"
"ATA","Beginning Segment for Motor Carrier Delivery Trailer Manifest"
"ATH","Resource Authorization"
"ATN","Attendance"
"ATR","Animal Test Result"
"ATV","Student Activities and Awards"
"AVA","Funds Availability"
"AWD","Amount with Description"
"AXL","Vehicle Axle Measurements"
"B1","Beginning Segment for Booking or Pick-up/Delivery"
"B2","Beginning Segment for Shipment Information Transaction"
"B3","Beginning Segment for Carrier's Invoice"
"B4","Beginning Segment for Inquiry or Reply"
"B5","Beginning Segment for Acceptance/Rejection"
"B9","Beginning Segment for Logistics Services"
"B10","Beginning Segment for Transportation Carrier Shipment Status Message"
"B11","Beginning Segment for Shipment Status Inquiry"
"B12","Beginning Segment for Consolidation of Goods In Container"
"B13","Beginning Segment for Appointment Schedule"
"B2A","Set Purpose"
"B3A","Invoice Type"
"B3B","Beginning Segment for Carrier's Invoice"
"B9A","Service Request"
"BA1","Export Shipment Identifying Information"
"BA2","Beginning Segment for Cargo Terminal Information"
"BAA","Beginning Segment for Product Transfer Account Adjustment"
"BAK","Beginning Segment for Purchase Order Acknowledgment"
"BAL","Balance Detail"
"BAT","Batch"
"BAU","Beginning Segment for the Debit Authorization"
"BAX","Beginning Segment for Advance Consist and Transportation Automatic Equipment ID"
"BBC","Legal Claims"
"BC","Beginning Segment for Contract Completion Status"
"BCA","Beginning Segment for Purchase Order Change Acknowledgment"
"BCD","Beginning Credit/Debit Adjustment"
"BCH","Beginning Segment for Purchase Order Change"
"BCI","Basic Claim Information"
"BCM","Beginning Segment for Contractor Cost Data Reporting"
"BCO","Beginning Segment for Procurement Notices"
